точка,вычисленное_значение,точное_значение,абс_ошибка,относ_ошибка
0.021200706690223007,0.0134961,0.0134961150346913,1.50346913235094e-8,1.11400142068656e-6
0.021300710023667454,0.0135598,0.0135597695509234,3.04490766142584e-8,2.24554528730463e-6
0.021400713357111904,0.0136234,0.0136234239767519,2.39767518703943e-8,1.75996518272867e-6
0.02150071669055635,0.0136871,0.0136870783117524,2.16882476023611e-8,1.5845783232024e-6
0.021600720024000798,0.0137507,0.0137507325555006,3.25555005904754e-8,2.36754663482165e-6
0.02170072335744525,0.0138144,0.0138143867075721,1.32924279274554e-8,9.62216290007811e-7
0.021800726690889696,0.013878,0.0138780407675425,4.07675424651116e-8,2.93755747983677e-6
0.021900730024334143,0.0139417,0.0139416947349874,5.26501260644796e-9,3.7764509309313e-7
0.022000733357778593,0.0140053,0.0140053486094825,4.86094824878047e-8,3.47077990271676e-6
0.02210073669122304,0.014069,0.0140690023906034,2.3906033697757e-9,1.6991989220234e-7
0.022200740024667487,0.0141327,0.0141326560779257,4.39220743334717e-8,3.10784286323697e-6
0.022300743358111937,0.0141963,0.014196309671025,9.67102500859518e-9,6.81235140119036e-7
0.022400746691556384,0.01426,0.014259963169477,3.68305229786481e-8,2.58279229324377e-6
0.02250075002500083,0.0143236,0.0143236165728573,1.65728573330026e-8,1.15703022679694e-6
0.02260075335844528,0.0143873,0.0143872698807416,3.01192584189341e-8,2.09346586715229e-6
0.02270075669188973,0.0144509,0.0144509230927054,2.30927053868069e-8,1.59800901555318e-6
0.022800760025334176,0.0145146,0.0145145762083244,2.37916756157253e-8,1.63915744232623e-6
0.022900763358778626,0.0145782,0.0145782292271742,2.92271742138167e-8,2.00485077826404e-6
0.023000766692223073,0.0146419,0.0146418821488305,1.78511695043959e-8,1.21918543816463e-6
0.02310077002566752,0.0147055,0.0147055349728689,3.49728688717188e-8,2.37821126085274e-6
0.02320077335911197,0.0147692,0.014769187698865,1.23011350255248e-8,8.3289177952808e-7
0.023300776692556417,0.0148328,0.0148328403263944,4.03263944390164e-8,2.71872369343439e-6
0.023400780026000864,0.0148965,0.0148964928550329,7.1449670988738e-9,4.79640890505323e-7
0.023500783359445315,0.0149601,0.014960145284356,4.52843560011518e-8,3.02699974748769e-6
0.02360078669288976,0.0150238,0.0150237976139394,2.38606062685776e-9,1.58818741307132e-7
0.02370079002633421,0.0150874,0.0150874498433587,4.98433586539754e-8,3.30363044571196e-6
0.02380079335977866,0.0151511,0.0151511019721895,1.97218948984335e-9,1.30168055982543e-7
0.023900796693223106,0.0152148,0.0152147540000075,4.59999924852517e-8,3.02338062660793e-6
0.024000800026667553,0.0152784,0.0152784059263884,5.92638837310089e-9,3.8789310882735e-7
0.024100803360112003,0.0153421,0.0153420577509077,4.2249092294111e-8,2.75380871179797e-6
0.02420080669355645,0.0154057,0.0154057094731412,9.47314115172515e-9,6.14911060579589e-7
0.0243008100270009,0.0154694,0.0154693610926644,3.8907335639729e-8,2.51512233790082e-6
0.024400813360445348,0.015533,0.015533012609053,1.26090529701389e-8,8.11758368236844e-7
0.024500816693889794,0.0155967,0.0155966640218826,3.59781173690094e-8,2.30678286819695e-6
0.024600820027334245,0.0156603,0.015660315330729,1.53307289883775e-8,9.78954041705424e-7
0.024700823360778692,0.015724,0.0157239665351677,3.34648323149778e-8,2.12826911314033e-6
0.02480082669422314,0.0157876,0.0157876176347744,1.76347743699456e-8,1.11700034652383e-6
0.02490083002766759,0.0158513,0.0158512686291247,3.13708753071906e-8,1.97907663034437e-6
0.025000833361112036,0.0159149,0.0159149195177943,1.9517794304369e-8,1.22638347503548e-6
0.025100836694556483,0.0159786,0.0159785703003588,2.96996411491834e-8,1.85871705597201e-6
0.025200840028000934,0.0160422,0.016042220976394,2.09763939863772e-8,1.30757418289751e-6
0.02530084336144538,0.0161059,0.0161058715454754,2.84545246392875e-8,1.76671747053109e-6
0.025400846694889827,0.0161695,0.0161695220071786,2.20071786245779e-8,1.36102839734202e-6
0.025500850028334278,0.0162332,0.0162331723610794,2.76389205619565e-8,1.70261979269812e-6
0.025600853361778725,0.0162968,0.0162968226067534,2.26067534483954e-8,1.38718779681874e-6
0.025700856695223172,0.0163605,0.0163604727437763,2.72562236842966e-8,1.66598020176398e-6
0.025800860028667622,0.0164241,0.0164241227717237,2.27717236941927e-8,1.38648036241002e-6
0.02590086336211207,0.0164878,0.0164877726901712,2.73098287595364e-8,1.65636858725982e-6
0.026000866695556516,0.0165514,0.0165514224986946,2.24986946122108e-8,1.35932090505368e-6
0.026100870029000967,0.0166151,0.0166150721968695,2.7803130530496e-8,1.67336802388744e-6
0.026200873362445413,0.0166787,0.0166787217842715,2.17842714700378e-8,1.30611156841017e-6
0.02630087669588986,0.0167424,0.0167423712604763,2.87395237226484e-8,1.71657426978562e-6
0.02640088002933431,0.016806,0.0168060206250596,2.06250595491397e-8,1.22724230845929e-6
0.026500883362778758,0.0168697,0.016869669877597,3.01224030475888e-8,1.78559528813341e-6
0.026600886696223205,0.0169333,0.0169333190176641,1.90176641448603e-8,1.12309135166583e-6
0.026700890029667655,0.016997,0.0169969680448368,3.1955163206504e-8,1.88005079025439e-6
0.026800893363112102,0.0170606,0.0170606169586906,1.69586905629515e-8,9.94025632427018e-7
0.02690089669655655,0.0171243,0.0171242657588011,3.42411988832336e-8,1.9995717984951e-6
0.027000900030001,0.0171879,0.0171879144447441,1.44447441265128e-8,8.40401211683329e-7
0.027100903363445446,0.0172516,0.0172515630160953,3.69839047442699e-8,2.14380022886165e-6
